engine,model,filename_batch_sizes,tokens,run_batch_size,energy_per_token
deepspeed,models--meta-llama--Llama-3.1-8B,256,500,256,0.4441065855797813
deepspeed,models--meta-llama--Llama-3.1-8B,512,500,512,0.4364698618889946
vllm,Llama-3.1-8B,128,32,128,0.06524487376549336
vllm,Llama-3.1-8B,128,64,128,0.08636314075904494
vllm,Llama-3.1-8B,128,128,128,0.0812744692439756
vllm,Llama-3.1-8B,128,256,128,0.07667651722893822
vllm,Llama-3.1-8B,128,500,128,0.0906111753210732
vllm,Llama-3.1-8B,128,512,128,0.10043326570087019
vllm,Llama-3.1-8B,128,1000,128,0.12063847900873312
vllm,Llama-3.1-8B,128,2000,128,0.17115354265666072
vllm,Llama-3.1-8B,256,256,256,0.06156975099526848
vllm,Llama-3.1-8B,256,500,256,0.07768025768541424
vllm,Llama-3.1-8B,256,512,256,0.0813214707298723
vllm,Llama-3.1-8B,256,1000,256,0.10408712465639389
vllm,Llama-3.1-8B,256,2000,256,0.14446669696411402
vllm,Llama-3.1-8B,32-64,200,32,0.10790894029011469
vllm,Llama-3.1-8B,32-64,200,64,0.06023572615414875
vllm,Llama-3.1-8B,512,256,512,0.07399600815808431
vllm,Llama-3.1-8B,512,500,512,0.09461638581230568
vllm,Llama-3.1-8B,512,512,512,0.10041232842495744
vllm,Llama-3.1-8B,512,1000,512,0.15667152065595946
vllm,Llama-3.1-8B,512,2000,512,0.22504587377305968
vllm,Llama-3.2-3B,1,5,1,2.3142468529277376
vllm,Llama-3.2-3B,128,128,128,0.02941172965672563
vllm,Llama-3.2-3B,256,128,256,0.025410759453203435
vllm,Llama-3.2-3B,32-64,200,32,0.04991116409614785
vllm,Llama-3.2-3B,32-64,200,64,0.02821941297134365
vllm,models--meta-llama--Llama-3.1-8B,256,500,256,0.0890620808998536
vllm,models--meta-llama--Llama-3.1-8B,512,500,512,0.0763911725191292
vllm,models--meta-llama--Llama-3.1-8B,512,2000,512,0.108132992100189
vllm,models--meta-llama--Llama-3.2-1B,512,500,512,0.0305682302694904
vllm,models--meta-llama--Llama-3.2-1B,512,2000,512,0.0434169026052989
vllm,models--meta-llama--Llama-3.2-3B,256,500,256,0.0581475587537797
vllm,models--meta-llama--Llama-3.2-3B,512,2000,512,0.0761157123324893
