Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss,GHG,Grid
2026-07-17 07:00:00+00:00,2026-07-17 07:00:00+00:00,2026-07-17 07:05:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,41.68327,33.21494,-0.24527,-2.64784,11.36144,CAISO
2026-07-17 07:00:00+00:00,2026-07-17 07:00:00+00:00,2026-07-17 07:05:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,43.34,42.86,0.0,0.48,,ISONE
2026-07-17 07:00:00+00:00,2026-07-17 07:00:00+00:00,2026-07-17 07:05:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.73,25.910000000000004,-1.26,0.08,,MISO
2026-07-17 07:00:00+00:00,2026-07-17 07:00:00+00:00,2026-07-17 07:05:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,24.93,25.91,0.0,-0.98,,MISO
2026-07-17 07:05:00+00:00,2026-07-17 07:05:00+00:00,2026-07-17 07:10:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,41.60402,35.05428,-0.24506,-2.64282,9.43762,CAISO
2026-07-17 07:05:00+00:00,2026-07-17 07:05:00+00:00,2026-07-17 07:10:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,43.68,43.08,0.11,0.49,,ISONE
2026-07-17 07:05:00+00:00,2026-07-17 07:05:00+00:00,2026-07-17 07:10:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,25.7,25.81,-0.23,0.12,,MISO
2026-07-17 07:05:00+00:00,2026-07-17 07:05:00+00:00,2026-07-17 07:10:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,24.96,25.81,0.1,-0.95,,MISO
2026-07-17 07:10:00+00:00,2026-07-17 07:10:00+00:00,2026-07-17 07:15:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,40.88911,36.34908,-0.24318,-2.59755,7.38076,CAISO
2026-07-17 07:10:00+00:00,2026-07-17 07:10:00+00:00,2026-07-17 07:15:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,43.68,43.08,0.11,0.49,,ISONE
2026-07-17 07:10:00+00:00,2026-07-17 07:10:00+00:00,2026-07-17 07:15:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,25.09,24.93,0.0,0.16,,MISO
2026-07-17 07:10:00+00:00,2026-07-17 07:10:00+00:00,2026-07-17 07:15:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,24.03,24.930000000000003,0.08,-0.98,,MISO
2026-07-17 07:15:00+00:00,2026-07-17 07:15:00+00:00,2026-07-17 07:20:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,39.9393,34.93298,-0.24071,-2.67867,7.9257,CAISO
2026-07-17 07:15:00+00:00,2026-07-17 07:15:00+00:00,2026-07-17 07:20:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,42.59,42.01,0.11,0.47,,ISONE
2026-07-17 07:15:00+00:00,2026-07-17 07:15:00+00:00,2026-07-17 07:20:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.86,24.74,0.0,0.12,,MISO
2026-07-17 07:15:00+00:00,2026-07-17 07:15:00+00:00,2026-07-17 07:20:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,23.82,24.74,0.08,-1.0,,MISO
2026-07-17 07:20:00+00:00,2026-07-17 07:20:00+00:00,2026-07-17 07:25:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,39.97828,33.17073,-0.24081,-2.68127,9.72963,CAISO
2026-07-17 07:20:00+00:00,2026-07-17 07:20:00+00:00,2026-07-17 07:25:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,42.61,42.14,0.0,0.47,,ISONE
2026-07-17 07:20:00+00:00,2026-07-17 07:20:00+00:00,2026-07-17 07:25:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,24.96,24.85,0.0,0.11,,MISO
2026-07-17 07:20:00+00:00,2026-07-17 07:20:00+00:00,2026-07-17 07:25:00+00:00,REAL_TIME_5_MIN,MINN.HUB,Hub,23.85,24.85,0.0,-1.0,,MISO
2026-07-17 07:25:00+00:00,2026-07-17 07:25:00+00:00,2026-07-17 07:30:00+00:00,REAL_TIME_5_MIN,TH_NP15_GEN-APND,Trading Hub,39.70614,32.36507,-0.24009,-2.66308,10.24424,CAISO
2026-07-17 07:25:00+00:00,2026-07-17 07:25:00+00:00,2026-07-17 07:30:00+00:00,REAL_TIME_5_MIN,.H.INTERNAL_HUB,HUB,42.62,42.17,0.0,0.45,,ISONE
2026-07-17 07:25:00+00:00,2026-07-17 07:25:00+00:00,2026-07-17 07:30:00+00:00,REAL_TIME_5_MIN,LOUISIANA.HUB,Hub,25.33,25.2,0.0,0.13,,MISO
